삼성전자 '역대급' 경력 채용…반도체·가전 전문가 구한다
6G 등 신사업 확대…이전보다 속도 빨라지나[뉴삼성이 온다②]
"[테크M 리포트] 삼성전자 '온디바이스 AI' 시대 주도…""20억개 기기 연결 통해 AI 생태계 구축"""
갤럭시 S 시리즈의 신작 '갤럭시 S24'...삼성 가우스가 적용된 'AI폰'[지식용어]
"""갤럭시 게 섰거라""...애플, 하반기 아이폰에 AI 도입하나"
"삼성디스플레이 갤럭시S24용 패널 출하량, 전작 대비 두 자릿수 증가"
구글 제미나이로 읽는 '그릇의 경제학' [IT큐레이션]
[뉴삼성]②M&A 다음 타깃은 인피니언·NXP…‘잃어버린 8년’ 끝낼 때
삼성 갤럭시 앞서고 애플 아이폰 추격…'스마트폰 AI 전쟁' 본격화
"中 갤럭시S24에 바이두 생성형AI 탑재한 삼성, LLM 본격화"
"[단독] 경계현 '디지털 전환 특명'…삼성 반도체, 임원 평가방식 바꿨다"
"삼성전자, 중국 갤럭시S24에 '바이두 AI' 탑재…파트너십 맺고 中 시장 공략"
언어장벽 허문 AI폰 갤럭시 S24 애플보다 앞서간다
"삼성, 中 갤럭시S24에 '바이두 생성 AI' 넣는다"
"노태문 삼성전자 사장 “갤럭시 AI, 올해 모바일기기 1억대에 탑재… 갤럭시링 연내 출시할 것”"
갤S24에 빙의된 ‘4명의 영혼’…“이 어려운 걸 다 해냈습니다” [위클리반도체]
삼성 언팩 D-1…'첫 AI폰' 갤럭시S24 어떤 기능 탑재했나
"""초거대 AI '가우스' 10분의 1로 줄여 갤 S24에 탑재"""
AI가 가를 기업 운명 심상치 않네…‘MS·애플·삼성’ 지금 무슨 일
"벼랑 끝에서 만난 삼성·애플, 새해부터 ‘늬집 털이’"
“어서와 AI폰은 처음이지”…삼성전자 갤럭시 S24 드디어 베일 벗는다
"삼성, AI폰 이어 '갤럭시 링'도 깜짝 공개"
삼성전자-LG전자 ‘온 디바이스 AI’ 노트북 주도권 경쟁 불붙어
실시간 통화 통역에 티타늄·평면 화면까지… 삼성 ‘갤럭시S24’ 이렇게 바뀐다
[써봤다] 스마트폰에서 AI는 이렇게 쓰는 겁니다…삼성 '갤럭시 S24 울트라'
"""올해 아이폰 출하량 급감 전망""...삼성 AI폰·화웨이 등에 밀려"
"삼성, 갤S24에 초거대AI 어떻게 넣었나…""4비트 압축이 기술력"""
"""드디어 오르나""...지갑 연 개미, '삼성전자' 주가 반등에 솔깃"
"삼성 첫 AI폰 '갤S 24', 기기만으로 실시간 통번역 어떻게 가능할까"
"애플보다 또 빨랐다…삼성, '손 안의 AI'로 스마트폰 생태계 재편하나"
"삼성전자, AI폰으로 스마트폰 수요↑… 8년만 최대 판매 전망-KB"
"삼성 '갤럭시S24', 프리미엄폰 경쟁 전환점 만들까"
"KB증권 ""삼성전자, 갤S24 판매량 8년만 최대 기대…영업익 451% 증가 전망"""
[김대호 박사의 오늘 기업·사람] 삼성·인텔·애플·태광·SK·애경
"인터넷 없이도 실시간 통역… 삼성, AI 스마트폰 시대 포문"
[글로벌 이슈] AI스마트폰시대 쏘아올린 삼성전자
"AI로 진화한 갤럭시 S24, 판 흔들까 [갤럭시 언팩 2024] [종합]"
"AI폰 꺼낸 삼성, 안드로이드앱 생태계 흔든다"
국내 빅테크 AI 기술 경쟁 가속
실시간 통·번역하는 AI폰…삼성전자 '갤럭시 S24 시리즈' 공개
“가우스 타고 아이폰 격파한다”…‘1억 AI 폰’ 내세운 삼성의 야심
"[AI혁명 발목 잡는 이재용 사법리스크(1)] 삼성전자, 총수 리더십으로 'AI 생태계' 주도권 잡아야"
"AI로 무장한 '갤럭시S24', 더 '스마트'한 폰으로 진화했다"
"'갤S24 언팩 D-1' 삼성 노태문, AI폰 시대 2막 연다"
삼성 '갤S24'에 쏠린 눈…세계 최초 'AI폰' 기능은?
"삼성, 애플 제치고 첫 AI 스마트폰… MS처럼 AI 주도권 쥐나"
삼성전자 ‘AI폰 시대’ 열다
'챗GPT 아버지' 만나는 삼성·SK… AI 동반자 될까
"이젠 'AI 통역 통화'…삼성·SKT, 맞대결"
"'삼성다운' 갤럭시 S24 시리즈... 사전예약, 가격, 출시일, 색상, 스펙은?"
"삼성전자 ‘갤S24’, 프리미엄 시장 게임체인저 될까...증권·IT계 호평"
[AI강화 삼성SDS] '양산형 솔루션' 지적 넘어설까
"삼성, AI폰으로 중국 재공략…과거 영광 재현 노린다"
"[단독] “사용자 최적 챗봇 자동으로 연결해줘”… 삼성전자, 갤럭시S24용 AI 특허 출원"
"삼성 갤럭시 S24, AI 기반 차별화 기능으로 혁신"
[갤AI시대 개막] 삼성에 도전하는 美 中 업체들은?
삼성 첫 AI폰 '갤럭시S24' 출시 이벤트 어디서 볼까?
"[모닝픽] 삼성중공업, 완하이라인에 13,100TEU 컨테이너선 인도"
[갤AI시대 개막] '사전 홍보' 대신 '실리' 택한 삼성전자
"삼성 AI 가상비서 ‘샘’, 갤럭시S24 언팩에 등장"
"갤럭시 S24, ""8년 만의 최대 판매량 전망""... 자체 개발 'AP와 AI모델' 시너지 효과 기대"
"[르포] 美 삼성 리서치 가보니…""S24 시리즈 탑재 '갤럭시 AI' 산실"""
"""전화하며 실시간 통역을"" [갤럭시 언팩 2024]"
"[2024 신년기획]삼성전자, '가우스'로 업무혁신·온디바이스 AI 미래 개척"
"삼성전자, 생성형 AI 가우스 체험 공간 '갤럭시 익스피리언스 스페이스' 글로벌 오픈"
"[About CES] [2024] 삼성전자, '가우스' 선보인다"
"""스마트폰부터 가전까지""… 삼성전자의 AI가 일상에 들어가는 방법"
"""AI도 현지화""...삼성전자, 바이두 손잡고 中 스마트폰 점유율 '1% 벽' 부순다"
"DX 이어 DS도…삼성전자, 업무에 생성형 AI '가우스' 쓴다"
"삼성전자, 한국통신학회와 MOU…'가우스' 고도화에 논문 DB 활용"
인공지능發 산업혁명...막대한 전력 소비는 '숙제'
삼성 생성형 AI ‘삼성 가우스’ 통신 논문 2만편 학습한다
"삼성전자 “휴대폰→TV폰→폴더블폰, 그 다음은…”"
"삼성전자, 한국통신학회와 논문 DB 제공 업무 협약 체결..삼성 가우스 성능 고도화 활용"
"삼성전자 AI '가우스', 한국통신학회 논문 2만편 학습한다"
"삼성전자, 한국통신학회와 맞손…삼성 가우스 성능 고도화"
"[급등락주 짚어보기] 반도체 소부장株, 갤럭시 S24 8년만 최대 흥행에 ‘上’"
"삼성전자, 생성형 AI '가우스' 보안성 강조···""문서화로 책임 소재 분명히 할 것"""
"삼성, '가우스 시대' 앞두고 AI 가전 상표권 잇단 출원"
"[더벨][삼성 AI 로드맵]'챗GPT 대항마' 가우스 등장, 갤럭시S24 탑재"
애플·삼성 AI서 진검승부… '삼성가우스' 갤S24 겨냥 애플 HUGS공개
"[AI 한입뉴스]애플, 아바타 생성 AI 공개…삼성 '가우스'와 맞붙나"
"""서버 안 거쳐 더 빠르다""…삼성도 출사표 던진 '온 디바이스 AI' [정지은의 산업노트]"
[기획]삼성 '가우스' vs LG '엑사원'…차별점은?
삼성 개발자 콘퍼런스 개최…갤럭시S24 탑재 생성형 AI '삼성 가우스' 소개
키워드만 적어도 영문 메일·이미지 생성… 베일 벗은 ‘삼성 가우스’
키워드 몇개 넣었더니 영어 메일 뚝딱…삼성 가우스 '일 내겠네'
삼성 생성형AI 모델 ‘가우스’ 첨병…SDC23 개최
"삼성전자, 개발자 콘퍼런스 2023 개최...생성형 AI '가우스' 소개"
삼성전자 역량 총집결…베일벗은 생성형 AI '가우스'
'AI 폰' 갤럭시 S24…'통화 통역' 외 다른 기능은?
글로벌 '생성형 AI' 전쟁...삼성 '가우스'·LG '엑사원'
"'빅스비 시대 저물고, 가우스 온다'··· 삼성도 생성형 AI에 도전장"
AI 춘추전국시대…삼성 '가우스'·LG '엑사원' 어떤 차이?
